VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2019-01-01 00:27:18,2019-01-01 00:52:40,2,2.53,1,N,68,137,1,16.5,0.5,0.5,3.56,0,0.3,21.36,
2,2019-01-01 00:22:50,2019-01-01 00:44:48,5,1.24,1,N,237,161,1,14,0.5,0.5,3.06,0,0.3,18.36,
2,2019-01-01 00:46:04,2019-01-01 00:56:30,5,.73,1,N,161,162,1,7.5,0.5,0.5,1,0,0.3,9.8,
2,2019-01-01 00:28:13,2019-01-01 00:40:47,1,2.30,1,N,237,143,2,10.5,0.5,0.5,0,0,0.3,11.8,
2,2019-01-01 00:45:44,2019-01-01 00:57:48,1,2.38,1,N,43,263,2,10.5,0.5,0.5,0,0,0.3,11.8,
2,2019-01-01 00:13:18,2019-01-01 00:16:54,2,.83,1,N,158,249,1,4.5,0.5,0.5,1.74,0,0.3,7.54,
2,2019-01-01 00:26:17,2019-01-01 01:02:34,3,4.67,1,N,114,142,1,24,0.5,0.5,5.06,0,0.3,30.36,
1,2019-01-01 00:20:18,2019-01-01 00:40:24,1,3.50,1,N,79,237,1,15,0.5,0.5,1.7,0,0.3,18,
1,2019-01-01 00:44:31,2019-01-01 00:53:28,1,1.30,1,N,237,233,2,8,0.5,0.5,0,0,0.3,9.3,
2,2019-01-01 00:50:03,2019-01-01 01:19:16,1,17.84,2,N,132,137,1,52,0,0.5,14.64,5.76,0.3,73.2,
1,2019-01-01 00:25:08,2019-01-01 00:48:35,2,6.90,1,N,158,166,1,23.5,0.5,0.5,4.95,0,0.3,29.75,
1,2019-01-01 00:53:26,2019-01-01 01:05:33,2,2.20,1,N,24,142,1,10.5,0.5,0.5,2.36,0,0.3,14.16,
1,2019-01-01 00:09:38,2019-01-01 00:31:41,1,6.40,1,N,234,13,1,22,0.5,0.5,4.65,0,0.3,27.95,
1,2019-01-01 00:33:20,2019-01-01 00:47:31,1,2.90,1,N,13,249,2,12,0.5,0.5,0,0,0.3,13.3,
1,2019-01-01 00:51:07,2019-01-01 00:54:39,1,1.00,1,N,113,90,1,5,0.5,0.5,1.25,0,0.3,7.55,
1,2019-01-01 00:56:33,2019-01-01 01:05:31,1,.90,1,N,90,48,1,7,0.5,0.5,1.65,0,0.3,9.95,
2,2019-01-01 00:27:23,2019-01-01 00:48:50,1,12.63,1,N,138,40,1,34.5,0.5,0.5,10.74,0,0.3,46.54,
1,2019-01-01 00:06:43,2019-01-01 00:25:30,2,2.60,1,N,114,161,1,14,0.5,0.5,4.55,0,0.3,19.85,
1,2019-01-01 00:32:01,2019-01-01 00:41:22,3,1.00,1,N,161,170,1,7.5,0.5,0.5,2.6,0,0.3,11.4,
1,2019-01-01 00:45:30,2019-01-01 00:57:29,1,2.90,1,N,170,75,1,11.5,0.5,0.5,1.92,0,0.3,14.72,
2,2019-01-01 00:35:58,2019-01-01 01:03:21,1,3.39,1,N,113,237,1,18.5,0.5,0.5,2,0,0.3,21.8,
2,2019-01-01 00:17:32,2019-01-01 00:38:09,2,8.24,1,N,43,13,1,26,0.5,0.5,5.46,0,0.3,32.76,
2,2019-01-01 00:50:14,2019-01-01 01:04:21,3,4.88,1,N,87,162,2,16.5,0.5,0.5,0,0,0.3,17.8,
2,2019-01-01 00:15:55,2019-01-01 00:21:03,3,.74,1,N,262,236,1,5.5,0.5,0.5,1.7,0,0.3,8.5,
2,2019-01-01 00:32:49,2019-01-01 00:44:44,1,.96,1,N,43,161,1,8.5,0.5,0.5,1.96,0,0.3,11.76,
2,2019-01-01 00:51:06,2019-01-01 00:57:20,3,1.80,1,N,163,263,2,7.5,0.5,0.5,0,0,0.3,8.8,
2,2019-01-01 00:59:14,2019-01-01 01:19:21,3,5.74,1,N,262,211,1,20,0.5,0.5,4.7,0,0.3,26,
2,2019-01-01 00:25:23,2019-01-01 00:42:11,1,.44,1,N,246,48,2,10.5,0.5,0.5,0,0,0.3,11.8,
1,2019-01-01 00:35:03,2019-01-01 00:57:46,2,6.10,1,N,264,264,1,22,0.5,0.5,3.5,0,0.3,26.8,
1,2019-01-01 00:59:23,2019-01-01 01:13:09,1,4.00,1,N,264,264,1,14,0.5,0.5,3.05,0,0.3,18.35,
